CL,Input Transtions,tpdf,tpdr
1,0.1,1.68527100e-11,2.01939500e-11
1,0.25,2.01193300e-11,2.86802400e-11
1,0.5,2.01590500e-11,3.80896100e-11
1,0.75,1.81000000e-11,4.56574600e-11
1,1,1.49068800e-11,5.23914100e-11
1,1.25,1.11606500e-11,5.86355900e-11
1,1.5,7.06729700e-12,6.45555600e-11
3,0.1,2.28716900e-11,2.67903200e-11
3,0.25,2.93679500e-11,3.87645600e-11
3,0.5,3.30564600e-11,5.15301500e-11
3,0.75,3.33747900e-11,6.14382100e-11
3,1,3.23305500e-11,6.99077800e-11
3,1.25,3.02468200e-11,7.75905100e-11
3,1.5,2.75629500e-11,8.47349400e-11
5,0.1,2.71836100e-11,3.15047600e-11
5,0.25,3.67920200e-11,4.67752300e-11
5,0.5,4.33583800e-11,6.25678000e-11
5,0.75,4.58519000e-11,7.44261600e-11
5,1,4.64364200e-11,8.45306900e-11
5,1.25,4.58668100e-11,9.34847500e-11
5,1.5,4.44686300e-11,1.01732700e-10
7,0.1,3.12430700e-11,3.58727700e-11
7,0.25,4.30510400e-11,5.36552700e-11
7,0.5,5.22689400e-11,7.21466400e-11
7,0.75,5.66390300e-11,8.58222900e-11
7,1,5.87113800e-11,9.73300700e-11
7,1.25,5.94462900e-11,1.07505100e-10
7,1.5,5.91588200e-11,1.16796200e-10
9,0.1,3.47777300e-11,3.93947100e-11
9,0.25,4.88194100e-11,5.98060600e-11
9,0.5,6.01723500e-11,8.07140800e-11
9,0.75,6.62716200e-11,9.61035600e-11
9,1,6.97288600e-11,1.08921100e-10
9,1.25,7.16073900e-11,1.20237500e-10
9,1.5,7.24204000e-11,1.30455400e-10
11,0.1,3.78374600e-11,4.26668900e-11
11,0.25,5.38572000e-11,6.51645000e-11
11,0.5,6.74232200e-11,8.85415900e-11
11,0.75,7.50649700e-11,1.05535600e-10
11,1,7.98053800e-11,1.19603500e-10
11,1.25,8.27635400e-11,1.31947200e-10
11,1.5,8.45208600e-11,1.43103100e-10
13,0.1,4.08367300e-11,4.57755500e-11
13,0.25,5.86834500e-11,7.02609200e-11
13,0.5,7.41979300e-11,9.58053600e-11
13,0.75,8.32238400e-11,1.14302900e-10
13,1,8.91514900e-11,1.29563400e-10
13,1.25,9.31283300e-11,1.42894800e-10
13,1.5,9.57710800e-11,1.54938100e-10
15,0.1,4.36590600e-11,4.85334400e-11
15,0.25,6.29936200e-11,7.48003900e-11
15,0.5,8.04553100e-11,1.02500300e-10
15,0.75,9.08868200e-11,1.22525300e-10
15,1,9.79122400e-11,1.38929000e-10
15,1.25,1.02847500e-10,1.53212600e-10
15,1.5,1.06337000e-10,1.66074300e-10
