CL,Input Transtions,tpdf,tpdr
1,0.1,3.02981800e-11,2.95563400e-11
1,0.25,4.33787000e-11,4.38405900e-11
1,0.5,5.54788300e-11,6.03870600e-11
1,0.75,6.38347000e-11,7.42263000e-11
1,1,7.08611300e-11,8.67974700e-11
1,1.25,7.71368200e-11,9.85666600e-11
1,1.5,8.28816200e-11,1.09789700e-10
3,0.1,3.70558200e-11,3.82269200e-11
3,0.25,5.46984600e-11,5.77330700e-11
3,0.5,7.20881700e-11,7.92757400e-11
3,0.75,8.41026400e-11,9.63897400e-11
3,1,9.40515600e-11,1.11517100e-10
3,1.25,1.02649700e-10,1.25454700e-10
3,1.5,1.10496700e-10,1.38582500e-10
5,0.1,4.23651800e-11,4.49720100e-11
5,0.25,6.36209800e-11,6.87515400e-11
5,0.5,8.52524300e-11,9.47445400e-11
5,0.75,1.00436900e-10,1.14705100e-10
5,1,1.12822800e-10,1.32073300e-10
5,1.25,1.23421000e-10,1.47883900e-10
5,1.5,1.33068500e-10,1.62635000e-10
7,0.1,4.67879000e-11,5.06198500e-11
7,0.25,7.12377500e-11,7.80436000e-11
7,0.5,9.65153300e-11,1.08002700e-10
7,0.75,1.14432200e-10,1.30745900e-10
7,1,1.28906900e-10,1.50132200e-10
7,1.25,1.41396500e-10,1.67644400e-10
7,1.5,1.52608100e-10,1.83875400e-10
9,0.1,5.08313100e-11,5.56913400e-11
9,0.25,7.80466600e-11,8.62166600e-11
9,0.5,1.06482500e-10,1.19814400e-10
9,0.75,1.26913000e-10,1.45089200e-10
9,1,1.43368100e-10,1.66478800e-10
9,1.25,1.57511000e-10,1.85556600e-10
9,1.5,1.70068000e-10,2.03159600e-10
11,0.1,5.44545200e-11,6.08379600e-11
11,0.25,8.39632300e-11,9.36197600e-11
11,0.5,1.15494900e-10,1.30528000e-10
11,0.75,1.38189500e-10,1.58236100e-10
11,1,1.56417800e-10,1.81460300e-10
11,1.25,1.72104300e-10,2.02090400e-10
11,1.5,1.86053500e-10,2.20977900e-10
13,0.1,5.80401900e-11,6.58810300e-11
13,0.25,8.95628700e-11,1.00448700e-10
13,0.5,1.23783200e-10,1.40374000e-10
13,0.75,1.48530900e-10,1.70388200e-10
13,1,1.68489000e-10,1.95415300e-10
13,1.25,1.85654100e-10,2.17491600e-10
13,1.5,2.00866900e-10,2.37643300e-10
15,0.1,6.16025800e-11,7.10318800e-11
15,0.25,9.46680000e-11,1.06697700e-10
15,0.5,1.31420900e-10,1.49521300e-10
15,0.75,1.58156400e-10,1.81685600e-10
15,1,1.79741200e-10,2.08436400e-10
15,1.25,1.98305500e-10,2.31970200e-10
15,1.5,2.14702700e-10,2.51003300e-10
